,precision,recall,f1-score,support
0,0.9836065573770492,1.0,0.9917355371900827,60.0
1,0.9903713892709766,1.0,0.9951624049758121,720.0
2,0.9946737683089214,0.996,0.9953364423717521,750.0
3,1.0,0.9711111111111111,0.9853438556933485,450.0
4,0.9984756097560976,0.9924242424242424,0.9954407294832827,660.0
5,0.9662576687116564,1.0,0.9828393135725428,630.0
6,1.0,0.98,0.98989898989899,150.0
7,0.9955654101995566,0.9977777777777778,0.9966703662597114,450.0
8,0.9977628635346756,0.9911111111111112,0.9944258639910815,450.0
9,1.0,1.0,1.0,480.0
10,1.0,0.9984848484848485,0.9992418498862775,660.0
11,0.969626168224299,0.9880952380952381,0.9787735849056605,420.0
12,0.9985207100591716,0.9782608695652174,0.9882869692532944,690.0
13,0.9958391123439667,0.9972222222222222,0.996530187369882,720.0
14,0.9818181818181818,1.0,0.9908256880733944,270.0
15,0.9858490566037735,0.9952380952380953,0.9905213270142179,210.0
16,1.0,1.0,1.0,150.0
17,1.0,0.9972222222222222,0.9986091794158554,360.0
18,0.9947229551451188,0.9666666666666667,0.9804941482444733,390.0
19,0.9836065573770492,1.0,0.9917355371900827,60.0
20,1.0,1.0,1.0,90.0
21,0.8411214953271028,1.0,0.9137055837563453,90.0
22,1.0,0.8416666666666667,0.9140271493212669,120.0
23,0.9371069182389937,0.9933333333333333,0.9644012944983819,150.0
24,0.9775280898876404,0.9666666666666667,0.9720670391061451,90.0
25,0.9916839916839917,0.99375,0.9927159209157128,480.0
26,0.9831460674157303,0.9722222222222222,0.9776536312849161,180.0
27,0.95,0.6333333333333333,0.7599999999999999,60.0
28,1.0,0.98,0.98989898989899,150.0
29,0.9574468085106383,1.0,0.9782608695652174,90.0
30,0.922077922077922,0.9466666666666667,0.9342105263157895,150.0
31,0.9926470588235294,1.0,0.996309963099631,270.0
32,0.967741935483871,1.0,0.9836065573770492,60.0
33,0.990521327014218,0.9952380952380953,0.9928741092636579,210.0
34,0.9523809523809523,1.0,0.975609756097561,120.0
35,0.9948979591836735,1.0,0.9974424552429668,390.0
36,0.9917355371900827,1.0,0.995850622406639,120.0
37,1.0,1.0,1.0,60.0
38,0.9970631424375918,0.9840579710144928,0.9905178701677608,690.0
39,0.9886363636363636,0.9666666666666667,0.9775280898876404,90.0
40,0.8979591836734694,0.9777777777777777,0.9361702127659575,90.0
41,1.0,1.0,1.0,60.0
42,1.0,1.0,1.0,90.0
accuracy,0.9882818685669041,0.9882818685669041,0.9882818685669041,0.9882818685669041
macro avg,0.9807067618999132,0.9790928791745271,0.978714479436311,12630.0
weighted avg,0.9886768120306508,0.9882818685669041,0.9881325880987673,12630.0
